Lennon_kimaguLe,ヨルシカのグッズいいなぁ〜〜〜
すいさんデザインのTシャツ良さみが深くて素晴らしい出来栄えですわね💯,Thu Oct 10 00:13:15 JST 2019
sun_girl1021,ヨルシカのグッズ全部かわいい,Thu Oct 10 00:13:00 JST 2019
niremot0,絶対的に音楽の趣味が合う友達が2人ぐらいいて、ネットで会った人で遠くにいるんだけれど、たまに何聴いてんの？って連絡して教えてもらった曲絶対好きになるし、教えた曲は絶対好きになってもらえるの良き。今日はヨルシカを履修しています。,Thu Oct 10 00:12:45 JST 2019
myu__myu__810,雨とカプチーノ歌ってみました。

#歌ってみた
#歌い手さんMIX師さん絵師さん動画師さんとPさん繋がりたい
#nana民と繋がりたい
#nana民でいいねした人全員フォローする 
#雨とカプチーノ
#ヨルシカ 
#拡散希望 
#少しでもいいと思ったらRT 
#RTした人で気になった人お迎え https://t.co/1pQZmtaAVb,Thu Oct 10 00:12:03 JST 2019
mattaroooooo,@su_ttin JPOPも全然聴くよー
ヨルシカとか好き,Thu Oct 10 00:11:59 JST 2019
gsCBhi1x6z1VaOY,@ebisukamen358 ヨルシカ　　ただ君に晴れ,Thu Oct 10 00:11:34 JST 2019
______tasoooo,@ot_integral ヨルシカ様ああああ,Thu Oct 10 00:11:33 JST 2019
masatugu_99,ヨルシカ好きなんすね…俺もソーナノ,Thu Oct 10 00:10:57 JST 2019
HphgrwMegy,美波ずっとヨルシカでいいのにが
ずとよるって略されてて探すのに困った,Thu Oct 10 00:10:38 JST 2019
izumiya_1000,唯一惜しむべくは元カノもヨルシカ大好きなんですねえ(),Thu Oct 10 00:10:28 JST 2019
rinhaku021013,ずとまよ名古屋参戦して最高すぎたので垢作りました!!!
高2🚺です!!!
ヨルシカ、ずとまよ、美波さん、好きな人と繋がりたいです⸜❤︎⸝‍
反応もらって趣味が合いそうだなぁとかお話ししたいなって思う人フォローすると思います~
#ずとまよ好きと繋がりたい 
#ヨルシカ好きと繋がりたい https://t.co/q6asg8hwS7,Thu Oct 10 00:10:24 JST 2019
gomakichikundao,ピアノがきちい
ヨルシカのピアノ使用率が年々上がってきてる気がする,Thu Oct 10 00:10:19 JST 2019
kei_fm14,ヨルシカの歌詞は本当にいいなあ,Thu Oct 10 00:10:18 JST 2019
izumiya_1000,フラレてから聞けないラブソングが増えたけどヨルシカはええな。間違いなく物語であってそれでいて自分のものに思わせてくれる,Thu Oct 10 00:10:03 JST 2019
sak__n,ヨルシカしたいのでリードギターくれ,Thu Oct 10 00:09:42 JST 2019
reosuffocation,藍空、ヨルシカ、ねこ
これで　大丈夫,Thu Oct 10 00:09:23 JST 2019
sinosika_st,10月9日
バイト先の1番仲良い人に「俺バイト辞めるわ〜」って言ったら速攻「じゃ俺も辞める」って言ってくれた。嬉しかった。

ヨルシカのライブみんな凄い盛り上がってたからなんか乗り遅れちゃったけどグッズ販売は行く！1人は孤独だったけど誘ってくれた嬉しい。めちゃ楽しみ,Thu Oct 10 00:08:59 JST 2019
gomakichikundao,@_pino_s ヨルシカのベースのかっこよさは異常惚れた勢,Thu Oct 10 00:07:54 JST 2019
ott_ottEI2,@emiririsan ヨルシカってナブナさんの事だったの？最近ボカロ聴かなすぎて知らんかった…,Thu Oct 10 00:07:08 JST 2019
evoIvf,@_Y___320 
ヨルシカのチケとれた？,Thu Oct 10 00:06:22 JST 2019
komeno_otubu,@kmt_pochi 「人生最後の日を前に思うのだろう全部全部無駄じゃなかったて言うから」
ヨルシカ
言って。,Thu Oct 10 00:06:01 JST 2019
39SORAYA39,えっえっえっノリが、ノリがヨルシカ歌ってくださってやがるえっえっえっ待って待ってえっありがとうございます https://t.co/hWmFcdq2y3,Thu Oct 10 00:05:27 JST 2019
sena_4629,@Oo_come_oX でもヨルシカばっか歌ってるからたまには違うのも〜って感じなのよ…笑:( ;´꒳`;):
鬼滅の刃ハマってるから紅蓮華も歌いたい(˙◁˙)✨✨,Thu Oct 10 00:05:17 JST 2019
yozak13,@coorin28 最新情報じゃん！
ヨルシカちゃんと履修してなかったけど好きな気はしてた笑
古川さん好きなのかー！
神様のダンスよいね,Thu Oct 10 00:05:15 JST 2019
chipiyoko05,大好きな歌の背景を知ってほしい。
そうすれば、もっと世界が広がるから。

聞くだけでも、歌うだけでも、満足できるのは、大好きな大切なヨルシカとn-bunaさんの音楽。
生きる糧。
私も神様に近づいて、自分の道を進みたい。

愛が溢れる真夜中。,Thu Oct 10 00:05:14 JST 2019
im37SZuGZskDrIN,ヨルシカの物販楽しみだ！！
整番早く知りたい、、
物販混むだろうからめちゃくちゃ早く並びに行こかな、、😑
グッズ沢山買お！！(＾ν＾),Thu Oct 10 00:03:23 JST 2019
sena_4629,@Oo_come_oX あれま、、🙄🙄🙄
やっぱヨルシカかな？？？？(˙◁˙),Thu Oct 10 00:02:59 JST 2019
emiririsan,最近思った。
ナブナさん(ヨルシカ)って音楽とか言葉の歌詞が多い気がする。たまたま知ってる曲がかもしれないけど、、。,Thu Oct 10 00:02:40 JST 2019
N_____tonoO,@goarukeyootome 三年前のヨルシカのMVでs((((,Thu Oct 10 00:02:07 JST 2019
SONAR_MUSIC_813,🔊#ヨルシカ ライブレポーター募集

本日の当選者は・・・‼️
横浜市でお聴きの【やな】さん
おめでとうございま〜〜す🙌💫

ライブレポーター募集は明日もあり!

#jwave #sonar813 https://t.co/II2pUpgLoX,Thu Oct 10 00:01:09 JST 2019
goarukeyootome,@N_____tonoO え、ヨルシカのMV？w,Thu Oct 10 00:01:07 JST 2019
osayuyuyu,カプチーノは飲める

#雨とカプチーノ #ヨルシカ #拍手返します

雨とカプチーノ / ヨルシカ
#nanamusic
https://t.co/IjTSZKfdRr,Thu Oct 10 00:00:47 JST 2019
ckmy0212,ヨルシカやっぱええなぁ
好きな曲増えてきた,Thu Oct 10 00:00:43 JST 2019
araaare10,まぁずっと前から思ってたけどヨルシカってイキなことしてくれるよね、そういうとこすごい好き,Thu Oct 10 00:00:17 JST 2019
coorin28,@yozak13 スピッツ今日からだよ笑
インディーはたしかにねえ
とっかかりがほしいわ
ヨルシカはいいぞ
n-bunaが古川本舗好きなのがわかる,Wed Oct 09 23:59:39 JST 2019
dokodokoriko,ヨルシカ ライブ 月光 チケット
1,2連求めてます。もし余っていたりご都合が悪い方がいらっしゃいましたらリプまたはDMしていただきたいです...😢
切実に求めていますお気軽にお声かけいただけると幸いです
よろしくお願いいたします。
東京、大阪、愛知どちらでも構いません
#ヨルシカ 
 #月光,Wed Oct 09 23:58:42 JST 2019
mykw__mizu_,@sandomeha_nai 三月のパンタシア
恋はキライだ
青春なんていらないわ

妹子の声に絶対合うはずヨルシカさんとかコレサワさんに似てる歌って欲しい！🥰🥰🥰🥰🥰🥰😭,Wed Oct 09 23:58:37 JST 2019
Hachidori2_,ヨルシカのグッズ可愛い,Wed Oct 09 23:57:40 JST 2019
UK_amiami,ヨルシカのグッズめちゃくちゃかわいい............,Wed Oct 09 23:57:07 JST 2019
sltkrd_8,melt(with suis)/TK from 凛として時雨
この楽曲はヨルシカのボーカルsuisが参加した楽曲、TKの持ち前のハイトーンボイスに加えsuisの柔らかい歌声がマッチして聴きごたえのある楽曲となっている。,Wed Oct 09 23:56:59 JST 2019
MK_tale773,@Yurinon0203 ヨルシカのグッズが通販あるんですよもう最高すぎて感情が大爆発してる金がなくなる,Wed Oct 09 23:56:30 JST 2019
IZAKI8musicLovE,ほんとに、見れば見るほどヨルシカのグッズが欲しくなるし、ライブに行きたいって思う
ほんと、あの時からもっともっと勇気がもててたらなぁ…

今年は我慢しなきゃって思ってたけどなかなか諦めきれないよ
n-bunaさんもヨルシカも大好きだ,Wed Oct 09 23:56:01 JST 2019
reo32801463,途中までになっちゃったけど...リクエスト枠良かったあああ！！！
感情の込め方がすごい、大好き...🥺✨
💤くんのAbout meめちゃ好きなんだな。
ヨルシカ歌いはる人あんまいないから個人的にはすごい嬉しかった◡̈,Wed Oct 09 23:55:56 JST 2019
Fst0tniKo4xOsaR,@sou_0523 いやお主のヨルシカ状況わりと興味あるよ!,Wed Oct 09 23:55:44 JST 2019
SAYA_SPACEY,最近アコースティックでヨルシカの｢だから僕は音楽を辞めた｣を演奏したんだけど、のあちゃんのインスタライブ覗いたらヨルシカが流れてたので今度エレキで弾いてみた動画撮ってみようかな( ᐢ. ̫ .ᐢ )✨✨✨

写真はだいぶ昔だけどマイアコギと一緒に撮ってもらった写真(^.^) https://t.co/jzw1940JrT,Wed Oct 09 23:55:09 JST 2019
conan627,@NrFjz14E6No0ZrW 大阪ですか！！！！！
もうヨルシカのライブが楽しみで楽しみで夜も眠れません！！！！！,Wed Oct 09 23:55:04 JST 2019
Ryohei_GINPI,嗚呼、やっぱり顧問とヨルシカに似てるな,Wed Oct 09 23:54:58 JST 2019
panisyaZzz,@gomimakura やっぱヨルシカ,Wed Oct 09 23:54:42 JST 2019
rad_acor06,ヨルシカはまりそうだな,Wed Oct 09 23:54:01 JST 2019
HaRu40732563,ヨルシカ
通販あるってさ！,Wed Oct 09 23:53:55 JST 2019
fugiovox0,夜は平沢進、昼はヨルシカ聴いてるの情緒どうなってんだ,Wed Oct 09 23:53:38 JST 2019
pefectbbblue,ヨルシカのライブ行きたいよ〜
チケット〜😂,Wed Oct 09 23:53:08 JST 2019
awmk__66,別界隈でのアカウントにまでヨルシカのグッズのツイート回ってきた！
すごいすごい、,Wed Oct 09 23:53:03 JST 2019
gomimakura,@pkmn0426 ヨルシカいいよねわかる,Wed Oct 09 23:52:25 JST 2019
xlll_moon,まじヨルシカのライブいきたかった、、、、、、、萎えた、、、、
グッズ良すぎてゲロ、、、、,Wed Oct 09 23:52:20 JST 2019
kamome_oishii,ヨルシカ良い〜！,Wed Oct 09 23:51:55 JST 2019
tenohira_2525,出勤前の朝にヨルシカの「湖の街」「神様のダンス」「雨晴るる」聴いたら、すごく気持ち落ち着いた。「雨晴るる」の後の「歩く」でスイッチがオンになったかのように急に激しくなるので、その流れも好き。,Wed Oct 09 23:51:25 JST 2019
yorusika22,音量ちゅうい！

なんか、本気でヘタクソなくせに、第2弾を載せたくなったので、後悔しながら載せます。(じゃあ載せるな感満載。)

#ヨルシカ #エルマ #ノーチラス 
#ヨルシカ好きと繋がりたい 
#歌ってみた #既に恥ずかしい
#練習しますたくさん…。 https://t.co/0ckVoLJaPL,Wed Oct 09 23:51:20 JST 2019
pnao_v,クレアさんへ

さいきんヨルシカをききはじめたのでクレアさんにもおすすめしたいです

わたしより,Wed Oct 09 23:51:01 JST 2019
tarotaro_2d,拡散、譲渡希望

ヨルシカ
LIVE TOUR2019「月光」
10/17 TSUTAYA O-EASTのチケットを1枚探しております。
新参ですがよろしくお願いします。

#拡散希望 
#ヨルシカ,Wed Oct 09 23:50:59 JST 2019
maro_maro319,音楽はしてるといいね。（ヨルシカ風） 

 https://t.co/IxEoYKmkNQ,Wed Oct 09 23:50:36 JST 2019
yozak13,@coorin28 スピッツ知らなかったそうなんだ！Apple Music入ってみたら楽しすぎて一生抜け出せん… 永遠に辿れる… けど私は逆にインディー系のアンテナ低くなっとるなー　とりあえずヨルシカから聴こうかな,Wed Oct 09 23:50:35 JST 2019
junx0425,ヨルシカの、心に穴が空いた
が好き。

ずっと聴いてる。,Wed Oct 09 23:50:21 JST 2019
hidecurry,そして何故か手元にヤバTとヨルシカのCDがある。
新しいの聞かないと、感性が枯れる気がするので、ちょいちょいまた色々な音楽聞いていきたいところ。,Wed Oct 09 23:50:12 JST 2019
reosuffocation,@ttaa_nn それいいですね☺️
そのドライバーさんが、
ヨルシカの2人なら
もう素敵過ぎるサプライズか、
モニタリングですね笑,Wed Oct 09 23:49:57 JST 2019
y19531200,言って (ヨルシカ)／ダズビー x hinakata COVER https://t.co/ieEd0aNUjr @YouTubeより,Wed Oct 09 23:49:40 JST 2019
LoReatsu,원곡도 좋지만 이런식으로 연주되는것도 특유의 감성이 있어서 좋아 
【Minecraft】音ブロックで「だから僕は音楽を辞めた- ヨルシカ」 https://t.co/La47FZn6ir @YouTube 님이 공유,Wed Oct 09 23:49:30 JST 2019
osakana_pota,@uttantan373 ヨルシカ行くの？？,Wed Oct 09 23:49:24 JST 2019
p___mom,ヨルシカ、、、グッズのセンスが良すぎてひくぞ、、、、,Wed Oct 09 23:49:16 JST 2019
Hattori_Spo_TD,@Nabe18prfm ヨルシカ『だから僕は音楽をやめた』,Wed Oct 09 23:48:50 JST 2019
aomushi0981,ヨルシカのグッズ可愛すぎて全部買う勢いすぎてやばい。,Wed Oct 09 23:48:35 JST 2019
Rei001001,地元テレビ局でヨルシカさん流れた,Wed Oct 09 23:48:33 JST 2019
Yoru__gohan,@02_yoru_ ヨルシカの物販行く？,Wed Oct 09 23:48:32 JST 2019
reosuffocation,月光ライブ2019 ヨルシカ

ライブビューイング
とか、
明日突然決まりませんか？

#月光　#ヨルシカ
#ライブビューイング,Wed Oct 09 23:47:59 JST 2019
mimizukutoketer,バックドロップシンデレラ
アルカラ
ニガミ17才
八十八ヶ所巡礼
indigo la End
DADARAY
オメでたい頭でなにより
東京ゲゲゲイ
ジェニーハイ
